Record_ID,H2_Tminus2,CH4_Tminus2,C2H6_Tminus2,C2H4_Tminus2,C2H2_Tminus2,CO_Tminus2,CO2_Tminus2,BDV_Tminus2,Moisture_PPM_Tminus2,WTI_HV_Tminus2,WTI_LV_Tminus2,OTI_Tminus2,Loading_pct_Tminus2,Ambient_Temp_Tminus2,Age_Years_Tminus2,IR_HV_E_1min_Tminus2,IR_LV_E_1min_Tminus2,IR_TV_E_1min_Tminus2,IR_HV_E_10min_Tminus2,IR_LV_E_10min_Tminus2,IR_TV_E_10min_Tminus2,PI_HV_Tminus2,PI_LV_Tminus2,PI_TV_Tminus2,Winding_HV_TanDelta_pct_Tminus2,Winding_LV_TanDelta_pct_Tminus2,Winding_TV_TanDelta_pct_Tminus2,Winding_HV_CapChange_pct_Tminus2,Winding_LV_CapChange_pct_Tminus2,Winding_TV_CapChange_pct_Tminus2,Bushing_HV_R_TanDelta_pct_Tminus2,Bushing_HV_Y_TanDelta_pct_Tminus2,Bushing_HV_B_TanDelta_pct_Tminus2,Bushing_HV_R_CapChange_pct_Tminus2,Bushing_HV_Y_CapChange_pct_Tminus2,Bushing_HV_B_CapChange_pct_Tminus2,Bushing_LV_R_TanDelta_pct_Tminus2,Bushing_LV_Y_TanDelta_pct_Tminus2,Bushing_LV_B_TanDelta_pct_Tminus2,Bushing_LV_R_CapChange_pct_Tminus2,Bushing_LV_Y_CapChange_pct_Tminus2,Bushing_LV_B_CapChange_pct_Tminus2,Bushing_TV_R_TanDelta_pct_Tminus2,Bushing_TV_Y_TanDelta_pct_Tminus2,Bushing_TV_B_TanDelta_pct_Tminus2,Bushing_TV_R_CapChange_pct_Tminus2,Bushing_TV_Y_CapChange_pct_Tminus2,Bushing_TV_B_CapChange_pct_Tminus2,H2_Tminus1,CH4_Tminus1,C2H6_Tminus1,C2H4_Tminus1,C2H2_Tminus1,CO_Tminus1,CO2_Tminus1,BDV_Tminus1,Moisture_PPM_Tminus1,WTI_HV_Tminus1,WTI_LV_Tminus1,OTI_Tminus1,Loading_pct_Tminus1,Ambient_Temp_Tminus1,Age_Years_Tminus1,IR_HV_E_1min_Tminus1,IR_LV_E_1min_Tminus1,IR_TV_E_1min_Tminus1,IR_HV_E_10min_Tminus1,IR_LV_E_10min_Tminus1,IR_TV_E_10min_Tminus1,PI_HV_Tminus1,PI_LV_Tminus1,PI_TV_Tminus1,Winding_HV_TanDelta_pct_Tminus1,Winding_LV_TanDelta_pct_Tminus1,Winding_TV_TanDelta_pct_Tminus1,Winding_HV_CapChange_pct_Tminus1,Winding_LV_CapChange_pct_Tminus1,Winding_TV_CapChange_pct_Tminus1,Bushing_HV_R_TanDelta_pct_Tminus1,Bushing_HV_Y_TanDelta_pct_Tminus1,Bushing_HV_B_TanDelta_pct_Tminus1,Bushing_HV_R_CapChange_pct_Tminus1,Bushing_HV_Y_CapChange_pct_Tminus1,Bushing_HV_B_CapChange_pct_Tminus1,Bushing_LV_R_TanDelta_pct_Tminus1,Bushing_LV_Y_TanDelta_pct_Tminus1,Bushing_LV_B_TanDelta_pct_Tminus1,Bushing_LV_R_CapChange_pct_Tminus1,Bushing_LV_Y_CapChange_pct_Tminus1,Bushing_LV_B_CapChange_pct_Tminus1,Bushing_TV_R_TanDelta_pct_Tminus1,Bushing_TV_Y_TanDelta_pct_Tminus1,Bushing_TV_B_TanDelta_pct_Tminus1,Bushing_TV_R_CapChange_pct_Tminus1,Bushing_TV_Y_CapChange_pct_Tminus1,Bushing_TV_B_CapChange_pct_Tminus1,H2_T0_Current,CH4_T0_Current,C2H6_T0_Current,C2H4_T0_Current,C2H2_T0_Current,CO_T0_Current,CO2_T0_Current,BDV_T0_Current,Moisture_PPM_T0_Current,WTI_HV_T0_Current,WTI_LV_T0_Current,OTI_T0_Current,Loading_pct_T0_Current,Ambient_Temp_T0_Current,Age_Years_T0_Current,IR_HV_E_1min_T0_Current,IR_LV_E_1min_T0_Current,IR_TV_E_1min_T0_Current,IR_HV_E_10min_T0_Current,IR_LV_E_10min_T0_Current,IR_TV_E_10min_T0_Current,PI_HV_T0_Current,PI_LV_T0_Current,PI_TV_T0_Current,Winding_HV_TanDelta_pct_T0_Current,Winding_LV_TanDelta_pct_T0_Current,Winding_TV_TanDelta_pct_T0_Current,Winding_HV_CapChange_pct_T0_Current,Winding_LV_CapChange_pct_T0_Current,Winding_TV_CapChange_pct_T0_Current,Bushing_HV_R_TanDelta_pct_T0_Current,Bushing_HV_Y_TanDelta_pct_T0_Current,Bushing_HV_B_TanDelta_pct_T0_Current,Bushing_HV_R_CapChange_pct_T0_Current,Bushing_HV_Y_CapChange_pct_T0_Current,Bushing_HV_B_CapChange_pct_T0_Current,Bushing_LV_R_TanDelta_pct_T0_Current,Bushing_LV_Y_TanDelta_pct_T0_Current,Bushing_LV_B_TanDelta_pct_T0_Current,Bushing_LV_R_CapChange_pct_T0_Current,Bushing_LV_Y_CapChange_pct_T0_Current,Bushing_LV_B_CapChange_pct_T0_Current,Bushing_TV_R_TanDelta_pct_T0_Current,Bushing_TV_Y_TanDelta_pct_T0_Current,Bushing_TV_B_TanDelta_pct_T0_Current,Bushing_TV_R_CapChange_pct_T0_Current,Bushing_TV_Y_CapChange_pct_T0_Current,Bushing_TV_B_CapChange_pct_T0_Current,Trend_Scenario,HI_Tminus2,HI_Tminus1,HI_Current,Current_Condition,Weighted_Trend_Older,Weighted_Trend_Recent,Weighted_Trend_Total,Trend_Acceleration,Trend_Penalty,Trend_Direction,Trend_Severity,Trend_Alert_Flag,Fastest_Deteriorating_Parameter,Dynamic_HI_PreCap,Dynamic_HI_Final,Dynamic_Condition,Binary_DHI,Dynamic_Anomaly_Flag,Dynamic_Anomaly_Type,Current_Hard_Cap_Flag,Current_Hard_Cap_Reason,DHI_Delta_vs_Current,DHI_training_target,Trend_Cap_Flag,Trend_Cap_Reason
216,707.6469,373.7039,82.941,89.246,11.3054,607.1767,4529.1921,50.5418,27.6891,91.956,90.8896,79.6278,92.9712,38.8785,21.5,7018.8083,7350.1136,8417.0914,14028.3187,10727.8465,13953.3921,1.9987,1.4595,1.6577,0.6398,0.6105,0.6615,3.588,2.8723,3.603,0.5387,0.6414,0.6345,-1.8823,1.651,-1.9469,0.5602,0.6134,0.5829,1.4921,1.5076,1.9804,0.5873,0.5793,0.6093,-2.1517,-1.3483,-2.0134,896.9046,457.4759,90.2622,101.3821,14.422,714.3755,5139.041,49.0471,29.936,92.0197,82.7905,79.0085,94.4227,39.2583,22.5,6526.5302,6241.2838,7705.107,11706.9554,9601.4922,12498.4512,1.7937,1.5384,1.6221,0.6895,0.6625,0.6912,4.2225,3.972,4.4069,0.5788,0.6709,0.6609,-3.3571,2.9254,-3.1185,0.5863,0.6349,0.6077,2.5808,3.6229,3.8163,0.6269,0.6108,0.6338,-3.586,-2.3248,-2.7365,1047.4,541.2,98.3,119.1,18.0,822.5,5710.9,46.3,33.0,93.2,87.3,82.7,99.3,39.2,23.5,5715.4,5273.7,6537.3,8817.7,7738.2,10444.5,1.543,1.467,1.598,0.747,0.725,0.766,6.01,5.7,6.34,0.629,0.723,0.703,-5.46,4.09,-4.46,0.623,0.682,0.655,4.79,5.25,5.1,0.66,0.667,0.688,-5.11,-4.3,-4.56,Rapid_Deterioration,0.7063,0.6601,0.5817,Poor,0.06801,0.11528,0.18329,0.04727,0.06255,Deteriorating,High,1,C2H2,0.5434,0.5434,Poor,0,1,Rapid_Trend_Deterioration,0,,-0.0383,54.339999999999996,0,
217,668.202,427.0905,87.7855,101.043,16.8206,732.6888,4519.1265,47.481,32.4649,86.9707,85.4658,76.3966,90.8973,38.7533,21.9,7335.5235,6685.4703,6412.8328,11453.9608,11667.4629,10267.5731,1.5614,1.7452,1.6011,0.6321,0.6597,0.6243,-4.1722,3.0723,-3.6855,0.7383,0.6642,0.5925,5.0201,-4.1628,3.6975,0.6413,0.63,0.6067,2.8081,3.6779,4.4554,0.6616,0.6006,0.6322,4.598,2.8589,-2.7254,718.9874,452.1385,93.149,112.1712,17.1425,761.9982,4996.6469,45.9925,34.192,87.3425,89.6348,78.3464,92.3032,38.6895,22.9,7042.9926,5989.6383,6141.404,10935.4617,9994.9999,9557.8419,1.5527,1.6687,1.5563,0.6425,0.6823,0.6492,-4.0661,3.961,-4.362,0.7716,0.6843,0.6186,5.4018,-5.3632,4.8213,0.6698,0.6576,0.6331,3.66,4.7161,5.1833,0.6798,0.626,0.6511,4.9669,4.2992,-3.3363,800.5,476.8,98.1,119.3,18.8,845.9,5080.6,44.9,34.9,90.7,88.9,79.9,94.5,38.6,23.9,6548.8,5760.7,5765.0,10206.9,9352.6,8751.3,1.559,1.624,1.518,0.682,0.705,0.665,-5.43,5.52,-5.37,0.792,0.711,0.642,6.55,-6.09,5.34,0.679,0.683,0.651,4.26,5.35,5.86,0.704,0.66,0.664,5.49,4.53,-4.12,Gradual_Deterioration,0.6618,0.628,0.5951,Poor,0.04961,0.04845,0.09806,-0.00116,0.02942,Deteriorating,Moderate,0,BDV,0.5773,0.5773,Poor,0,1,DGA,0,,-0.0178,57.730000000000004,0,
218,603.8094,330.1367,93.5872,91.0435,11.1444,656.0689,3779.037,60.3624,20.497,73.1657,82.8437,69.5755,76.5683,35.2612,12.9,9451.3041,10908.3538,10099.1842,18595.9977,20923.6476,19980.0029,1.9676,1.9181,1.9784,0.4986,0.5248,0.5096,-1.3346,1.6032,1.2257,0.5357,0.5056,0.5252,-1.2578,0.8279,-2.4428,0.5316,0.4729,0.5223,-1.2071,1.0299,0.8478,0.5198,0.5116,0.4748,1.419,-1.939,2.0011,687.8286,374.5625,94.3851,101.7376,13.1356,707.0817,4181.4441,58.1788,22.3257,79.0018,83.0019,72.1148,78.5815,35.2088,13.9,8771.7246,10590.3939,9571.6608,16837.3847,20433.5376,19464.0094,1.9195,1.9294,2.0335,0.5197,0.544,0.5404,-2.0724,3.0054,2.2326,0.5485,0.5321,0.5504,-2.0382,1.8383,-2.8196,0.5556,0.4909,0.5562,-2.1328,2.0621,2.1062,0.5374,0.5345,0.4985,2.2382,-2.3348,2.9411,740.5,426.5,100.8,104.6,13.9,765.0,4529.6,56.5,23.4,77.1,79.3,71.7,80.0,35.5,14.9,8428.1,10000.0,9372.5,16121.6,19476.5,18200.6,1.913,1.948,1.942,0.553,0.57,0.565,-2.98,3.39,3.74,0.568,0.541,0.557,-2.75,2.43,-3.34,0.576,0.505,0.57,-2.69,2.65,2.55,0.556,0.548,0.51,3.04,-2.75,3.32,Gradual_Deterioration,0.8361,0.7979,0.774,Fair,0.05618,0.03521,0.09138,-0.02097,0.02741,Deteriorating,Moderate,0,BDV,0.7564,0.7564,Fair,1,1,DGA,0,,-0.0176,75.64,0,
219,1430.5,779.0562,126.1757,170.6549,29.3638,1069.5395,7486.4467,34.7906,46.6692,105.0734,105.5959,95.5509,115.7936,43.7578,29.0,1109.5408,677.3905,1357.2858,2075.535,725.1666,1666.7136,1.8706,1.0705,1.228,0.8603,0.9716,0.9259,8.9819,9.6837,-8.7727,0.7869,0.8688,0.9255,6.1376,7.9435,6.5937,0.7679,0.8242,0.7404,-6.8577,6.7806,7.5534,0.8481,0.8143,0.888,-7.0706,-5.8262,5.8083,1462.8763,805.2858,129.2218,170.3133,28.8707,1078.1589,7817.194,35.3038,46.4739,108.3169,105.7506,94.8198,117.0218,43.8256,30.0,1284.9947,846.9969,1458.1113,1901.5742,1324.2066,1383.7791,1.4798,1.5634,0.949,0.8613,0.9672,0.9372,8.4254,9.8675,-8.6616,0.7975,0.866,0.9231,5.9696,8.2387,6.6132,0.7564,0.8412,0.7388,-6.6917,6.8415,7.6681,0.8578,0.8104,0.8824,-6.6145,-5.6189,5.4968,1476.4,787.4,128.8,169.6,29.5,1070.8,7619.8,34.6,46.2,106.3,104.0,95.1,115.0,43.7,31.0,1409.7,690.0,1420.9,1628.7,1200.0,1496.4,1.155,1.739,1.053,0.865,0.964,0.93,8.5,9.49,-8.73,0.797,0.862,0.92,6.12,7.94,6.79,0.759,0.837,0.736,-6.56,6.67,7.44,0.856,0.815,0.883,-6.85,-5.3,5.6,Stable,0.0,0.0,0.3736,Very Poor,0.00918,-0.00206,0.00712,-0.01124,0.00214,Stable,Stable,0,PI_HV,0.2781,0.2781,Very Poor,0,1,Winding_TD_Cap,0,,-0.0955,27.810000000000002,0,
220,1289.441,794.2885,125.9532,145.2627,21.6082,991.0837,7232.9854,42.1198,40.7923,100.8811,99.5324,86.5126,107.4336,43.2561,32.0,2569.8325,3890.9594,3730.9421,4196.5293,7626.6591,5125.0287,1.633,1.9601,1.3737,0.844,0.8881,0.8236,5.5799,6.0699,4.9202,0.7915,0.7673,0.7864,4.071,-4.3662,4.2219,0.7356,0.8762,0.7988,6.0093,4.1744,6.457,0.6917,0.7181,0.6834,2.89,-4.5311,5.293,1275.7335,819.38,127.8518,139.495,21.2756,1000.6738,7420.276,41.2761,40.961,101.0872,99.3394,86.7973,108.1876,43.5793,33.0,2346.3173,3838.1707,3644.2811,3680.104,6613.2287,4797.1586,1.5685,1.723,1.3164,0.8631,0.9051,0.8456,5.8271,6.1045,5.3512,0.7982,0.7741,0.8088,4.5072,-4.3478,4.3929,0.7456,0.8919,0.8,6.118,4.4725,6.4922,0.6872,0.7152,0.6849,2.8258,-4.9616,5.6925,1688.2,943.2,139.6,174.0,27.6,1226.3,8479.0,35.5,45.8,104.9,104.9,91.5,113.8,43.4,34.0,829.7,2244.3,1738.7,1200.0,2496.7,1913.6,1.446,1.112,1.101,0.924,0.985,0.926,8.4,9.67,9.24,0.877,0.85,0.89,6.65,-6.61,6.67,0.816,0.952,0.866,9.02,6.61,8.53,0.767,0.792,0.772,5.67,-7.61,7.79,Sudden_Deterioration,0.5004,0.4841,0.3455,Very Poor,0.02395,0.20377,0.22772,0.17982,0.09709,Deteriorating,Severe,1,PI_LV,0.2847,0.2847,Very Poor,0,1,Rapid_Trend_Deterioration,0,,-0.0608,0.0,1,IR_HV_E_1min; IR_HV_E_10min; IR_LV_E_10min; IR_TV_E_10min; PI_LV
221,0.0,0.0,57.0203,33.3012,0.0,158.8721,1316.501,65.0528,14.399,78.7358,80.1089,67.3454,78.1166,36.2993,9.9,12201.9075,12029.1598,11931.561,24079.6857,23724.3134,24548.3213,1.9734,1.9722,2.0574,0.6362,0.6259,0.7191,0.8632,0.0634,2.8215,0.4739,0.4573,0.4228,0.5722,0.1052,0.0836,0.423,0.4236,0.4371,0.3957,0.1086,-0.0233,0.4312,0.4931,0.4423,0.0385,-0.2419,-0.1268,23.6901,49.1223,66.2541,47.3289,0.0,273.4567,1316.501,62.8929,18.0485,80.4258,75.0592,69.685,84.0158,36.5912,10.9,10850.6515,10777.5252,11152.0975,21143.2341,20911.2444,23015.4076,1.9486,1.9403,2.0638,0.6982,0.671,0.7621,3.7733,2.3041,4.8447,0.5115,0.5195,0.462,1.5181,0.1444,-0.7499,0.4371,0.4397,0.4667,0.3752,0.3798,-0.4855,0.4824,0.5272,0.4824,-0.215,0.5979,-0.4849,307.0,213.9,74.1,64.9,1.9,493.7,2500.0,59.7,23.6,78.8,81.7,73.0,86.6,36.8,11.9,9653.0,9251.4,10000.0,19305.9,17798.3,19865.5,2.0,1.924,1.987,0.759,0.747,0.815,7.05,5.86,6.85,0.555,0.585,0.528,3.23,-2.24,-2.83,0.5,0.52,0.511,2.0,2.53,-2.55,0.55,0.581,0.563,2.0,2.0,-2.66,Rapid_Deterioration,0.9364,0.8874,0.7993,Fair,0.07207,0.1295,0.20157,0.05743,0.06966,Deteriorating,High,1,Moisture_PPM,0.7566,0.7566,Fair,1,1,Rapid_Trend_Deterioration,0,,-0.0427,0.0,1,H2; CH4; CO2; Winding_HV_CapChange_pct
222,802.1715,459.4822,101.6591,142.2591,9.7782,732.2161,4810.1115,51.7731,29.7848,102.2309,102.1046,92.9479,111.2643,43.3625,13.1,7483.1611,8241.4334,7891.8564,12176.7384,15726.7633,15067.8877,1.6272,1.9083,1.9093,0.6501,0.5485,0.709,6.3807,-5.4108,7.2325,0.6178,0.6576,0.6179,5.8129,5.3417,5.8095,0.6234,0.6046,0.6131,6.2455,-5.5919,6.0838,0.6781,0.6502,0.6212,4.4188,5.9917,4.6833,551.3006,376.1338,94.6453,125.7371,3.2481,633.5242,4036.2261,55.2675,25.8909,104.5737,99.3571,91.0644,108.7974,42.6055,14.1,8265.9639,8973.5267,9127.937,14641.0522,17010.8591,17237.87,1.7712,1.8957,1.8885,0.6154,0.5287,0.6663,4.8914,-3.5271,5.0505,0.5587,0.6238,0.5903,4.2341,4.0662,4.4707,0.5842,0.5755,0.5914,4.2795,-3.8599,3.6425,0.6185,0.6045,0.5794,2.9575,4.8848,3.6295,413.8,305.8,87.6,111.6,1.0,519.8,3502.7,58.0,23.3,97.2,97.4,87.8,106.5,42.3,15.1,8740.7,9578.3,9656.0,16450.1,18486.8,19072.1,1.882,1.93,1.975,0.581,0.503,0.624,3.71,-2.46,3.56,0.535,0.603,0.56,2.87,3.16,3.43,0.555,0.537,0.559,3.0,-2.66,2.98,0.585,0.584,0.552,2.0,4.02,2.45,Improving,0.6567,0.7273,0.7862,Fair,-0.10382,-0.08658,-0.19041,0.01724,0.00276,Improving,Stable,0,,0.7617,0.7617,Fair,1,0,No_Anomaly,0,,-0.0245,76.17,0,
223,19.5953,88.895,66.8477,48.9651,0.0518,293.0062,2458.8142,56.6934,24.7053,82.2174,84.9328,72.0307,82.0424,34.8906,14.1,9993.9926,8985.9563,9421.7103,19167.4873,16758.4186,17918.4439,1.9179,1.865,1.9018,0.5037,0.5427,0.5392,1.6641,2.2343,2.6692,0.4998,0.4873,0.499,-1.6229,2.1365,2.1579,0.4879,0.502,0.4802,2.2466,2.2167,1.576,0.5467,0.5019,0.4904,2.1695,1.9231,-2.1677,69.5459,99.9496,70.1222,44.8749,2.7917,312.3646,2503.6812,57.0667,23.9667,86.2483,85.8913,72.8383,83.7599,36.1667,15.1,9885.3684,8828.9349,9156.4405,18559.2687,16623.6115,17756.7448,1.8774,1.8829,1.9393,0.5146,0.5561,0.5195,1.8284,2.533,2.9241,0.5138,0.4857,0.4958,-1.8871,1.8098,2.4938,0.514,0.5015,0.4931,2.3771,1.957,1.4865,0.5381,0.5073,0.5005,2.8799,2.1162,-2.2012,100.3,120.0,68.3,51.3,1.8,350.0,2528.5,55.8,24.9,75.9,75.3,72.8,84.1,35.5,16.1,9725.7,8687.0,9182.3,18553.0,16479.1,17570.3,1.908,1.897,1.913,0.513,0.56,0.537,2.05,2.34,2.8,0.511,0.5,0.5,-2.0,2.38,2.3,0.512,0.5,0.5,2.29,2.28,2.0,0.551,0.512,0.5,2.73,2.16,-2.36,Stable,0.9281,0.9166,0.9213,Good,0.01698,-0.00692,0.01006,-0.02389,0.00302,Stable,Stable,0,C2H2,0.9183,0.9183,Good,1,0,No_Anomaly,0,,-0.003,91.83,0,
224,1232.0298,821.703,124.8151,162.4734,26.8301,1117.445,7330.5462,32.7942,46.6971,102.8722,97.9386,90.1858,109.1709,42.7904,26.6,2845.6297,1757.0239,1974.3195,3208.1629,2595.1231,2310.2257,1.1274,1.477,1.1701,0.9358,0.9017,0.9139,9.0763,8.9885,8.5899,0.8935,0.7656,0.848,-8.1189,5.5667,5.3,0.7881,0.8808,0.8019,-7.5762,5.4377,6.778,0.7439,0.7967,0.745,5.9348,6.7384,-7.5791,1233.7001,814.7957,124.338,163.6676,28.4928,1132.078,7491.8807,33.4191,46.9459,103.9537,101.3702,88.0467,107.4308,42.9739,27.6,2569.8787,1771.8138,2020.5484,3169.7012,2298.009,2223.5278,1.2334,1.297,1.1005,0.927,0.8953,0.9004,9.2324,8.4641,8.2915,0.892,0.7679,0.8391,-8.1215,5.6252,5.6088,0.787,0.8847,0.7982,-7.8271,5.0173,6.6889,0.7417,0.8008,0.7372,6.2364,6.8905,-7.6819,1210.5,803.8,123.7,164.4,27.4,1117.0,7416.7,32.8,47.1,101.8,99.0,88.1,109.9,42.7,28.6,2662.0,1748.9,1843.3,3241.6,2120.6,2166.9,1.218,1.213,1.176,0.934,0.904,0.903,9.34,8.6,8.4,0.892,0.775,0.844,-8.26,5.64,5.41,0.791,0.883,0.796,-7.61,5.35,6.51,0.74,0.802,0.742,6.09,6.66,-7.93,Stable,0.4074,0.402,0.4032,Poor,0.00789,-0.00174,0.00616,-0.00963,0.00185,Stable,Stable,0,PI_LV,0.4016,0.4016,Poor,0,1,Winding_TD_Cap,0,,-0.0016,40.160000000000004,0,
225,1165.4467,696.68,109.5522,144.5686,21.1317,899.5622,6116.5968,46.1471,33.6578,99.2814,98.766,89.5836,106.5632,42.4251,30.4,3688.6112,3652.2278,5070.5109,7306.6672,6193.93,9743.6127,1.9809,1.6959,1.9216,0.8245,0.7946,0.8,4.2196,4.3589,-3.6299,0.7589,0.8202,0.6571,-4.4877,-3.3857,-3.735,0.7527,0.7111,0.5979,4.7333,5.3848,1.9265,0.774,0.6615,0.7564,4.6584,3.1728,4.113,1195.3788,733.7105,109.791,151.4798,21.1674,1000.8842,6189.38,44.4343,34.6978,101.3597,100.434,88.6798,106.252,43.0495,31.4,3655.1813,3360.4454,4638.4111,6762.7449,6004.3396,8877.2086,1.8502,1.7868,1.9138,0.8444,0.8323,0.8153,5.0172,4.537,-4.3532,0.7669,0.8273,0.6848,-4.5878,-4.1292,-3.7291,0.7742,0.7271,0.6076,5.2312,5.6743,2.2939,0.7938,0.666,0.7635,4.6472,3.2605,4.2588,1569.1,901.8,133.7,182.9,29.9,1239.8,7426.1,36.8,42.8,108.1,105.3,95.2,116.8,43.3,32.4,1853.9,1986.9,2989.0,2129.8,2301.6,3911.4,1.149,1.158,1.309,0.935,0.946,0.919,8.78,8.85,-9.14,0.83,0.918,0.76,-7.86,-7.22,-7.17,0.858,0.829,0.71,8.77,8.66,5.85,0.863,0.747,0.822,8.21,6.83,7.52,Sudden_Deterioration,0.5688,0.5463,0.3546,Very Poor,0.03308,0.28195,0.31503,0.24887,0.13433,Deteriorating,Severe,1,PI_HV,0.2705,0.2705,Very Poor,0,1,Rapid_Trend_Deterioration,0,,-0.0841,0.0,1,IR_HV_E_10min; IR_LV_E_10min; PI_HV; Winding_LV_CapChange_pct; Bushing_TV_Y_CapChange_pct; Bushing_TV_B_CapChange_pct
226,892.4393,475.2631,105.3163,115.799,16.8751,816.6475,4969.4258,48.9432,30.5223,88.4035,88.4167,79.9085,91.8222,39.8809,22.5,5890.363,6805.2022,5473.28,9975.8701,11521.7925,7508.6594,1.6936,1.6931,1.3719,0.7311,0.7265,0.734,6.4535,5.5407,5.8366,0.6702,0.7738,0.5844,-5.0001,4.2436,-6.2268,0.6609,0.6916,0.631,-5.0242,4.849,5.1479,0.599,0.6543,0.6535,-3.8399,4.7549,5.1289,857.3169,473.5108,106.198,111.7636,17.684,844.4337,5151.6247,48.6597,29.8549,94.8717,90.1208,81.727,93.2832,40.3285,23.5,5698.5551,6794.5533,5017.9825,10160.8396,11101.792,7402.8237,1.7831,1.6339,1.4753,0.7486,0.7193,0.738,6.5644,5.8751,5.4972,0.6689,0.7648,0.5831,-5.5279,4.333,-5.9857,0.6645,0.6955,0.6367,-5.0684,4.6195,5.187,0.6197,0.6541,0.6658,-3.6694,4.8934,5.6733,907.1,490.6,107.8,116.4,17.4,829.3,5163.0,48.1,30.8,90.5,88.3,80.5,94.9,39.6,24.5,5623.8,6708.1,5106.5,9458.0,11091.6,7382.3,1.682,1.653,1.446,0.742,0.733,0.737,6.82,5.68,5.97,0.686,0.77,0.595,-5.6,4.33,-6.24,0.669,0.692,0.638,-5.02,5.11,5.48,0.611,0.66,0.662,-3.75,4.78,5.52,Stable,0.6041,0.5975,0.5925,Poor,0.00962,0.00741,0.01703,-0.00222,0.00511,Stable,Stable,0,BDV,0.5893,0.5893,Poor,0,1,Winding_TD_Cap,0,,-0.0032,58.93000000000001,0,
227,680.2525,410.3082,93.1488,96.8818,18.3243,747.598,4404.2738,50.7992,32.9961,84.8244,92.8913,78.0082,93.8716,38.4755,22.9,6838.7301,8312.4594,7076.0185,10636.3855,13207.4041,11921.4334,1.5553,1.5889,1.6848,0.6098,0.6126,0.6711,1.2254,3.2254,2.8816,0.5441,0.6719,0.6003,1.7288,2.7776,3.5107,0.5508,0.6256,0.67,3.0522,1.9151,3.6245,0.5767,0.551,0.571,3.1843,3.5665,1.8089,835.281,475.0911,101.8951,113.8603,21.5253,826.2549,5110.4432,47.5532,35.425,88.8441,91.1721,80.8487,96.4665,39.201,23.9,5982.7971,7726.6292,6312.9767,9022.2625,11402.2125,9487.5302,1.508,1.4757,1.5029,0.6587,0.6591,0.7325,3.53,4.9397,5.1836,0.6016,0.6941,0.6476,3.2576,3.636,5.1443,0.6046,0.6729,0.701,4.1013,3.8014,4.504,0.6126,0.5997,0.6028,4.7053,4.7256,3.0409,914.0,532.4,105.2,127.8,22.8,903.1,5599.1,44.5,37.0,90.5,89.5,82.8,101.0,39.1,24.9,5352.0,6661.2,5417.3,8007.1,10097.8,7895.5,1.496,1.516,1.457,0.705,0.693,0.773,5.14,6.09,6.52,0.636,0.717,0.673,4.57,4.76,6.24,0.636,0.709,0.729,5.44,5.07,5.75,0.646,0.62,0.639,5.54,5.85,4.61,Gradual_Deterioration,0.6797,0.6101,0.5645,Poor,0.10225,0.06711,0.16936,-0.03514,0.05081,Deteriorating,High,1,BDV,0.5321,0.5321,Poor,0,1,Rapid_Trend_Deterioration,0,,-0.0324,53.21,0,
228,1305.1658,679.4279,133.1141,142.2423,29.1147,1067.1431,7087.2206,40.0418,38.7942,99.9232,100.9625,88.5145,109.608,44.1692,30.5,3889.3503,3495.4249,3698.3047,5729.5728,5604.4138,4825.662,1.4731,1.6034,1.3048,0.8506,0.84,0.8195,-6.3826,4.8314,-3.9724,0.7437,0.6473,0.6838,-2.6481,4.6994,6.1835,0.7269,0.8011,0.7669,-4.211,5.2688,4.2203,0.7836,0.7157,0.8663,5.367,3.5164,2.8817,1426.7776,725.1013,134.5931,163.9404,30.9291,1123.691,7336.4757,38.3275,41.9787,102.9326,105.0941,89.5818,110.6639,43.9566,31.5,2995.8768,2789.2743,3174.3025,3816.001,4264.8557,3966.7891,1.2738,1.529,1.2497,0.8939,0.8608,0.8391,-8.0346,6.1766,-5.7246,0.7821,0.6653,0.7205,-4.209,5.8182,7.168,0.7466,0.8175,0.792,-5.0557,6.3286,5.4343,0.8117,0.7419,0.8795,6.503,4.8206,4.6655,1678.9,856.9,143.8,180.6,34.3,1267.9,7927.0,34.1,45.4,107.5,106.8,93.2,117.6,44.3,32.5,1872.8,1246.5,1900.8,2256.5,1308.9,2118.5,1.205,1.05,1.115,0.966,0.941,0.892,-9.84,9.32,-8.78,0.85,0.714,0.775,-6.15,7.48,8.84,0.787,0.878,0.859,-7.01,8.33,7.58,0.853,0.782,0.944,7.74,7.06,6.5,Rapid_Deterioration,0.4909,0.437,0.3376,Very Poor,0.07926,0.14619,0.22545,0.06693,0.07834,Deteriorating,High,1,PI_LV,0.2895,0.2895,Very Poor,0,1,Rapid_Trend_Deterioration,0,,-0.0481,0.0,1,IR_LV_E_10min; PI_LV
